Ad technology provider;Privacy URL
Google;https://www.google.com/policies/technologies/partner-sites/
: Tappx;https://www.tappx.com/en/privacy-policy/
[24]7.ai (successor to EngageClick);https://www.247.ai/privacy-policy#gdpr_compliance
152 Media LLC;https://152media.com/privacy-policy/
1plusX;https://www.1plusx.com/privacy-policy/
1trn;https://1trn.com/privacy.php
2KDirect Inc.;https://www.ipromote.com/privacy-policy/
33Across;https://www.33across.com/privacy-policy/
366 SAS;https://www.366.fr/politique-de-confidentialite-de-la-regie/
3Q GmbH;https://3q.video/en/help-center/datenschutzhinweise
42 Ads;https://www.42ads.io/42privacy.pdf
6Sense Insights, Inc;https://6sense.com/privacy-policy
90Degree;https://90degr.ee/privacy/
A Million Ads Limited;https://www.amillionads.com/privacy-policy
A1 PerformanceFactory;https://www.perfact.co.kr/privacy
Aarki;http://corp.aarki.com/privacy
Aarki, Inc.;https://corp.aarki.com/privacy
ABCS INSIGHTS;https://www.abcsinsights.com/privacy/ad-measurement
abilicom;https://contactimpact.de/datenschutz
ablida;https://www.ablida.de/nutzungsbedingungen
Accorp Sp. z o.o.;https://instytut-pollster.pl/privacy-policy/index.html#en
AccountInsight Ltd;https://www.accountinsight.ai/privacy-policy/
Accurat;https://www.accurat.ai/legal/privacy-centre
AccuWeather;https://www.accuweather.com/en/privacy
ACTV8, Inc.;https://actv8me.com/data-privacy.html#legitimate_interest_claim
Acuityads;https://www.acuityads.com/privacy-policy/
Ad Alliance GmbH;https://www.ad-alliance.de/datenschutz/
Ad Lightning;https://www.adlightning.com/privacy
Ad Optima Digital;http://adoptimadigital.com/privacy-policy.html
Ad.com Interactive Media, Inc.;https://admedia.com/privacy/
Ad2iction;https://www.ad2iction.com/privacy/
Ad360;https://www.ad360.media/privacy.html
ad6media;https://www.ad6media.fr/privacy
Adacado;https://www.adacado.com/privacy-policy-april-25-2018/
adality GmbH;https://adality.de/en/privacy/
Adara Media;https://adara.com/2018/04/10/adara-gdpr-faq/
Adasta Media S.r.l.;https://www.adasta.it/en/publisher-cookie-policy/
Adbalancer;https://www.adbalancer.com/datenschutz/
adbility media GmbH;https://www.adbility-media.com/datenschutz
Adblade;https://www.adblade.com/doc/privacy
ADBOX;http://www.adboxdigital.uk/privacy
ADBRO (GISTER PRIVATE LIMITED);https://www.adbro.com/privacy/advertising-privacy-policy
AdButler;https://adbutler.com/gdpr.spark
Adcash;https://adcash.com/legal/
ADCELL;https://www.adcell.de/agb#sector_6
Adcombi;https://www.adcombi.com/privacy/
AddApptr GmbH;https://www.gravite.net/data-privacy
AdDefend GmbH;https://www.addefend.com/en/privacy-policy/
Addroid;https://addroid.com/privacy.html
Adelaide Metrics Inc;https://adelaidemetrics.com/privacy
AdElement;http://adelement.com/privacy-policy.html
Adello;http://www.adello.com/privacy-policy
Aderize, Inc.;https://aderserve.com/privacy_policy.html
ADEX;http://theadex.com
Adex (Virtual Minds GmbH);https://theadex.com/privacy-platform/
AdFalcon;http://www.adfalcon.com/en/tech-policy.html
Adflare;https://www.adflare.com/privacy-policy/?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=
Adforce Digital Intelligence LTDA;https://api.adftech.com.br/privacy
Adform;https://site.adform.com/uncategorized/product-and-services-privacy-policy/
AdGear;http://adgear.com/privacy
AdGibbon BV;https://www.agcs.works/privacy-policy/
Adgrid Media, LLC;https://www.adgrid.io/privacy-policy
Adhese;https://adhese.com/privacy-and-cookie-policy
adhood;https://www.theadx.com/en/privacy.php
Adikteev;https://www.adikteev.com/eu/privacy/
Adimo;https://adimo.co/privacy-policy
AdInMo LTD;https://www.adinmo.com/privacy-policy/
Aditude, Inc.;https://www.aditude.com/privacy
Adjust Digital A/S;https://adjust-digital.com/privacy/
Adjust GmbH;https://www.adjust.com/terms/gdpr/
AdKernel;https://adkernel.com/privacy-policy/
AdLib Digital Limited;https://www.ad-lib.io/privacy-policy
adlocal.net;http://adlocal.net/privacy.php
ADLOOP;https://adloop.co/en/privacy-policy/
Adloox;http://adloox.com/disclaimer
Adludio;https://www.adludio.com/termsandconditions#privacy
Admagnetix;https://admagnetix.io/privacy-policy/
ADman Media;https://admanmedia.com/politica.html?setLng=es
ADMASTERS SOLUÇÕES DE MARKETING DIGITAL LTDA;https://admasters.media/en/privacy/
Admatic GMBH;https://admatic.com.tr/gizlilik-sozlesmesi/
ADMAX;https://admaxmedia.io/privacy-policy/
AdMaxim;http://www.admaxim.com/admaxim-privacy-policy/
Admedo;https://www.admedo.com/privacy-policy
Admetrics;https://admetrics.io/en/privacy_policy/
Admixer;https://admixer.net/privacy
Admo.TV;https://www.admo.tv/en/privacy-policy
Admost;http://adserver.admost.com/privacypolicy.html
ADn.AI;https://www.adn.ai/fr/politique-de-confidentialite-des-formats-publicitaires-dadn-ai-et-de-son-adserver-pour-google-ads-dv360/
Adnami ApS;https://adnami.io/privacy-policy.html
adnanny.com;http://adserver01.de/
Adnetic;https://adnetic.ru/policies/privacy
ADNOW I RENODO MEDIA LTD;https://adnow.com/privacy-policy
Adnuntius AS;https://adnuntius.com/resources/privacy-policy/
Adobe Advertising Cloud;https://www.adobe.com/privacy/general-data-protection-regulation.html
AdotMob;https://adotmob.com/privacy.html
AdPlay;https://rtb.adplay-mobile.com/privacy-policy
AdPlayer.Pro;https://adplayer.pro/privacy
AdPlugg;https://www.adplugg.com/legal/privacy
Adpone;http://www.adpone.com/privacy-policy/
AdPredictive;https://adpredictive.com/privacy
adQuery;https://policy.openmobi.pl
ADRENALEAD;https://adrenalead.com/en/data-protection-policy
AdRetarget;https://adretarget.me/privacy-policy
AdRetriever;https://adretriever.com/privacy-policy/
Adrino Mobile Sp. z o.o.;https://adrino.pl/polityka-prywatnosci/
Adriver;https://www.adriver.ru/about/privacy-en/
adrule;https://www.adrule.net/de/datenschutz/
Ads Interactive Ltd.;https://adsinteractive.com/privacy-policy
AdServing Factory srl;https://www.adservingfactory.com/privacy-policy.html
Adsniper;http://ad-sniper.com/docs/privacy-en.pdf
ADSOCY;https://adsocy.com/politica-de-privacidad-y-aviso-legal/
Adsolutions BV;https://www.adsolutions.com/privacy-policy/
AdSpirit AdServer;https://www.adspirit.de/datenschutz00.0.html
adsquare GmbH;https://adsquare.com/privacy/
Adssets;http://adssets.com/policy
ADSTOURS SAS;https://www.clickintext.com/about/charte-rgpd.php
Adstra;https://www.alc.com/privacy-policy/
AdsWizz Inc.;https://www.adswizz.com/privacy-policy/
Adsyield Inc;https://web.adsyield.com/privacy-policy
Adtarget Teknoloji A.S.;https://adtarget.com.tr/adtarget-privacy-policy-2020.pdf
adTarget.me;https://adtarget.me/privacy.html
Adtelligence;https://adtelligence.com/en/data-privacy/
Adtelligent Inc.;https://adtelligent.com/terms-and-conditions/
AdTheorent, Inc.;https://adtheorent.com/privacy-policy
Adthos;https://www.adthos.com/privacy-policy/
AdTile;https://www.adtile.me/privacy-policy/
AdTiming;https://www.adtiming.com/privacy-policy.php
Adtoox;https://www.adtoox.com/en/privacy-policy
AdTrader;https://adtrader.com/privacy.html
AdTriba;https://privacy.adtriba.com/
ADTTRIBUTION Inc;https://adttribution.com/privacy-policy.html
AdUnity LTD;https://www.adunity.com/privacy-policy.html
ADUX;https://www.adux.com/donnees-personnelles/
advanced STORE GmbH;https://www.ad4mat.com/en/privacy/
Advanse;https://advanse.io/advanse-privacy-policy/
Adventive;https://www.adventive.com/legal/privacy-policy
Adventive, Inc.;https://adventive.com/legal/privacy-policy/
Adventori;https://www.adventori.com/fr/avec-nous/mentions-legales/
Adverline;https://www.adverline.com/privacy/privacy.html
Adverticum cPlc.;https://adverticum.net/english/privacy-and-data-processing-information/
Advertising.Tech FZ-LLC;https://advertising.tech/privacy-policy/
Advertserve;https://privacy.advertserve.com/
Adverty AB (publ);https://adverty.com/privacy-policy/
AdView;https://www.adview.com/policy/privacy
Advisible AB;https://www.advisible.com/privacy
advolution.control;http://advolution.de/privacy.php
Advrtas;https://advrtas.com/privacy-policy/
Adwatch;http://theadwatch.com/politica-privacidad/
Adwatch S.L.;https://theadwatch.com/privacy-policy/
Adways SAS;http://www.adways.com/privacy/
Adwise - Your Digital Brain;https://www.adwise.nl/privacy-statement.html
adWMG;https://adwmg.com/privacy-policy/
AdXcel, Inc. dba ArtsAI;https://artsai.com/privacy
Adxperience SAS;https://adxperience.com/privacy-policy/
ADYOULIKE SA;https://www.adyoulike.com/pages/privacy_en.php
Adzerk;https://dev.adzerk.com/docs/privacy-policy-customers
Adzymic;http://www.adzymic.co/privacy
AerServ;https://www.aerserv.com/privacy-policy/
Affiliate Future;http://affiliatefuture.co.uk/Legal/privacy
Affle Inc;https://youappi.com/privacy-policy/
Affle India;https://www.revx.io/privacy-policy
Aflorithmic Labs, LTD;https://audiostack.ai/legal/privacy-policy
Agate Systems Limited;https://www.axate.com/privacy-policy
Aidata;https://my.aidata.me/data/uploads/aidata.me-privacy-policy.pdf
AIDEM Technologies LTD;https://kb.aidem.com/privacy/policies/privacy-policy/
